DATE,SOURCE_ID,SOURCE_SIC_CODE,TARGET_ID,TARGET_SIC_CODE
20050824,372,J5822,241,J6121
20050824,372,J5822,570,C2642
20050825,122,J5822,56,J6202
20050825,122,J5822,395,J5822
20050825,122,J5822,48,J5822
20050825,122,J5822,6,K6412
20050825,244,J6202,188,G4651
20050825,244,J6202,112,J6202
20050826,210,G4651,415,J6209
20050831,135,G4652,183,J6202
20050831,180,C2631,176,J5822
20050831,180,C2631,374,J6129
20050831,180,C2631,162,J5822
20050831,344,J6399,48,J5822
20050831,344,J6399,71,J5822
20050831,344,J6399,17,J5812
20050831,344,J6399,116,J6312
20050901,346,C2890,85,J5822
20050901,346,C2890,77,J6202
20050905,149,J5822,364,J6022
20050905,149,J5822,78,J6202
20050905,149,J5822,59,J6202
20050907,335,J5822,48,J5822
20050907,361,G4651,53,J5822
20050907,361,G4651,106,J5822
20050907,543,J6202,106,J5822
20050907,543,J6202,71,J5822
20050908,301,J5822,59,J6202
20050908,301,J5822,48,J5822
20050908,301,J5822,108,J6202
20050909,501,J5822,446,C3111
20050909,603,J5822,625,M7012
20050912,483,J5822,241,J6121
20050912,483,J5822,38,G4791
20050912,483,J5822,206,J6122
20050912,524,J5822,85,J5822
20050912,571,J5822,76,J5822
20050913,343,J6202,36,J5822
20050913,343,J6202,518,G4651
20050913,343,J6202,241,J6121
20050913,343,J6202,585,C2223
20050913,343,J6202,38,G4791
20050913,343,J6202,59,J6202
20050914,378,J5822,10,K6412
20050915,534,J5822,54,J6129
20050915,534,J5822,22,J6202
20050915,632,J5822,48,J5822
20050915,632,J5822,59,J6202
20050915,632,J5822,83,J5822
20050916,138,G4651,76,J5822
20050916,138,G4651,395,J5822
20050916,138,G4651,48,J5822
20050920,150,J5822,472,J6202
20050920,150,J5822,108,J6202
20050920,150,J5822,569,G4680
20050920,150,J5822,59,J6202
20050920,227,J5822,570,C2642
20050920,227,J5822,498,C2642
20050920,227,J5822,484,K6412
20050921,456,J5822,218,J6122
20050921,456,J5822,59,J6202
20050921,456,J5822,43,J6122
20050921,584,C2642,242,J6121
20050922,147,J5822,59,J6202
20050922,147,J5822,48,J5822
20050923,323,J5822,85,J5822
20050923,571,J5822,76,J5822
20050926,281,J5822,85,J5822
20050926,281,J5822,38,G4791
20050926,281,J5822,218,J6122
20050927,25,G4651,59,J6202
20050927,426,J6201,43,J6122
20050927,426,J6201,108,J6202
20050928,548,M7212,241,J6121
20050929,380,J5822,36,J5822
20050929,380,J5822,327,J6312
20050929,380,J5822,326,J6399
20050929,491,J5822,48,J5822
20050930,657,J5822,666,C2911
20051004,91,J5822,555,D3511
20051004,91,J5822,118,S9512
20051004,91,J5822,242,J6121
20051004,289,F4212,85,J5822
20051004,289,F4212,59,J6202
20051004,289,F4212,48,J5822
20051004,430,J6311,3,K6512
20051004,430,J6311,218,J6122
20051004,430,J6311,41,K6491
20051004,523,J5822,418,J6209
20051004,567,P8550,59,J6202
20051005,296,J5822,108,J6202
20051005,296,J5822,371,J5822
20051007,703,J5822,85,J5822
20051011,398,J6202,116,J6312
20051011,398,J6202,26,G4651
20051011,398,J6202,553,J6021
20051011,516,J5822,26,G4651
20051011,516,J5822,59,J6202
20051011,516,J5822,239,F4122
20051011,516,J5822,78,J6202
20051013,223,G4651,179,J5822
20051013,223,G4651,161,J5822
20051017,198,J5822,102,J5822
20051017,198,J5822,571,J5822
20051017,198,J5822,59,J6202
20051017,301,J5822,59,J6202
20051017,301,J5822,48,J5822
20051017,301,J5822,108,J6202
20051017,394,J5822,584,C2642
20051017,394,J5822,590,C2642
20051019,239,F4122,242,J6121
20051019,239,F4122,59,J6202
20051019,239,F4122,463,J5822
20051020,96,J6202,48,J5822
20051020,96,J6202,179,J5822
20051020,298,J5822,570,C2642
20051020,298,J5822,590,C2642
20051021,309,J5822,589,C2612
20051021,309,J5822,78,J6202
20051021,309,J5822,395,J5822
20051031,228,J6129,176,J5822
20051031,524,J5822,85,J5822
20051101,125,F4232,207,J6121
20051101,125,F4232,238,J6121
20051103,82,J5822,48,J5822
20051103,82,J5822,570,C2642
20051103,82,J5822,395,J5822
20051103,394,J5822,584,C2642
20051103,394,J5822,590,C2642
20051104,658,J5822,664,C3111
20051104,658,J5822,663,C3111
20051107,347,J5822,59,J6202
20051108,428,J5822,551,K6412
20051108,428,J5822,702,J5822
20051109,234,J6202,108,J6202
20051109,234,J6202,242,J6121
20051111,42,J5822,22,J6202
20051111,42,J5822,133,F4232
20051111,42,J5822,470,N7599
20051116,282,F4232,36,J5822
20051116,438,J6202,218,J6122
20051118,245,F4232,191,J6202
20051118,245,F4232,230,J6202
20051118,245,F4232,374,J6129
20051118,333,J5822,664,C3111
20051118,333,J5822,663,C3111
20051118,547,J5822,190,G4651
20051118,547,J5822,503,J6202
20051118,547,J5822,289,F4212
20051118,547,J5822,71,J5822
20051118,563,J6202,498,C2642
20051121,584,C2642,242,J6121
20051123,660,F4232,241,J6121
20051124,151,F4232,257,J6202
20051124,151,F4232,374,J6129
20051124,151,F4232,242,J6121
20051125,567,P8550,59,J6202
20051125,567,P8550,238,J6121
20051128,90,J5822,59,J6202
20051128,90,J5822,48,J5822
20051128,383,J5822,206,J6122
20051129,211,J6202,77,J6202
20051129,211,J6202,48,J5822
20051129,211,J6202,242,J6121
20051129,686,J5822,664,C3111
20051129,686,J5822,663,C3111
20051206,268,J5822,214,J5822
20051206,268,J5822,218,J6122
20051212,519,J5822,625,M7012
20051212,519,J5822,449,F4111
20051215,411,J5822,59,J6202
20051215,411,J5822,56,J6202
20051215,411,J5822,85,J5822
20051215,411,J5822,48,J5822
20051215,685,J5822,664,C3111
20051215,685,J5822,78,J6202
20051215,685,J5822,663,C3111
20051218,235,J5822,446,C3111
20051218,235,J5822,663,C3111
20051219,562,J5822,374,J6129
20051219,562,J5822,112,J6202
20051220,232,J6202,176,J5822
20051220,232,J6202,59,J6202
20051222,526,J5822,78,J6202
20051223,126,G4651,52,J6202
20051226,186,J5822,40,K6491
20051226,186,J5822,38,G4791
20051226,307,J5822,78,J6202
20051226,307,J5822,59,J6202
20051230,620,J6202,389,J6202
20060104,562,J5822,374,J6129
20060104,562,J5822,112,J6202
20060109,142,G4651,21,J6202
20060109,142,G4651,161,J5822
20060113,438,J6202,218,J6122
20060124,303,C2641,211,J6202
20060124,303,C2641,59,J6202
20060124,303,C2641,463,J5822
20060124,303,C2641,242,J6121
20060131,681,C1712,17,J5812
20060131,681,C1712,7,J5812
20060131,681,C1712,9,J5812
20060201,312,J5822,171,G4791
20060201,312,J5822,472,J6202
20060201,312,J5822,108,J6202
20060201,514,J5822,625,M7012
20060201,514,J5822,43,J6122
20060203,416,J5822,108,J6202
20060203,416,J5822,43,J6122
20060206,462,J5822,77,J6202
20060206,462,J5822,108,J6202
20060207,181,J5822,108,J6202
20060207,181,J5822,242,J6121
20060208,144,J5822,48,J5822
20060208,144,J5822,59,J6202
20060208,144,J5822,395,J5822
20060208,144,J5822,202,G4610
20060209,291,C2642,242,J6121
20060209,291,C2642,218,J6122
20060209,291,C2642,538,J6022
20060209,291,C2642,43,J6122
20060210,121,J6202,49,G4651
20060210,121,J6202,78,J6202
20060213,130,C2642,43,J6122
20060213,130,C2642,242,J6121
20060213,373,G4651,108,J6202
20060214,312,J5822,171,G4791
20060214,312,J5822,472,J6202
20060214,312,J5822,108,J6202
20060214,582,J5822,118,S9512
20060215,546,J5822,312,J5822
20060215,546,J5822,108,J6202
20060216,407,J5822,463,J5822
20060216,407,J5822,106,J5822
20060216,407,J5822,108,J6202
20060216,517,C2811,539,J5822
20060216,517,C2811,214,J5822
20060216,517,C2811,230,J6202
20060217,189,J5822,132,J6202
20060217,302,J5821,644,F4122
20060217,302,J5821,643,C2721
20060221,310,J5822,570,C2642
20060221,310,J5822,85,J5822
20060221,450,J5822,324,J6399
20060221,568,C2642,466,J5822
20060222,130,C2642,43,J6122
20060222,130,C2642,206,J6122
20060222,321,J5822,116,J6312
20060222,581,J5822,108,J6202
20060222,581,J5822,43,J6122
20060222,581,J5822,206,J6122
20060222,581,J5822,218,J6122
20060223,594,J5822,59,J6202
20060223,594,J5822,242,J6121
20060302,502,G4652,58,J6202
20060302,502,G4652,241,J6121
20060303,125,F4232,207,J6121
20060303,125,F4232,238,J6121
20060306,525,J5822,48,J5822
20060308,187,J6202,35,K6412
20060308,187,J6202,374,J6129
20060308,187,J6202,29,G4645
20060308,248,M7212,77,J6202
20060308,417,J5822,229,G4652
20060308,417,J5822,43,J6122
20060308,417,J5822,484,K6412
20060308,417,J5822,108,J6202
20060309,338,J6209,3,K6512
20060309,338,J6209,86,K6412
20060309,338,J6209,108,J6202
20060309,338,J6209,59,J6202
20060310,52,J6202,48,J5822
20060310,52,J6202,374,J6129
20060310,429,J5822,78,J6202
20060310,429,J5822,48,J5822
20060313,359,J5822,128,C2632
20060313,359,J5822,229,G4652
20060313,359,J5822,43,J6122
20060313,359,J5822,108,J6202
20060313,411,J5822,85,J5822
20060313,411,J5822,56,J6202
20060313,411,J5822,571,J5822
20060313,411,J5822,48,J5822
20060313,427,J5822,133,F4232
20060313,427,J5822,59,J6202
20060313,427,J5822,43,J6122
20060313,427,J5822,108,J6202
20060313,576,J5822,108,J6202
20060313,576,J5822,133,F4232
20060313,576,J5822,218,J6122
20060313,576,J5822,43,J6122
20060315,170,J5822,627,K6412
20060315,170,J5822,32,J6311
20060315,610,J5822,43,J6122
20060315,610,J5822,242,J6121
20060315,610,J5822,206,J6122
20060316,164,J6202,77,J6202
20060316,164,J6202,59,J6202
20060316,164,J6202,5,G4651
20060316,306,J6202,242,J6121
20060316,306,J6202,48,J5822
20060316,306,J6202,374,J6129
20060316,306,J6202,133,F4232
20060317,428,J5822,59,J6202
20060317,428,J5822,551,K6412
20060317,428,J5822,702,J5822
20060320,122,J5822,395,J5822
20060320,122,J5822,6,K6412
20060320,122,J5822,78,J6202
20060320,302,J5821,644,F4122
20060320,302,J5821,643,C2721
20060320,495,J6202,78,J6202
20060321,375,J5822,48,J5822
20060321,375,J5822,449,F4111
20060321,375,J5822,644,F4122
20060321,641,J5822,150,J5822
20060321,689,F4241,48,J5822
20060321,689,F4241,108,J6202
20060321,689,F4241,59,J6202
20060322,474,J5822,38,G4791
20060322,474,J5822,241,J6121
20060323,358,J6202,48,J5822
20060323,690,J5822,663,C3111
20060324,660,F4232,241,J6121
20060327,518,G4651,225,J5821
20060327,518,G4651,116,J6312
20060327,639,J5822,644,F4122
20060328,158,G4651,48,J5822
20060328,158,G4651,48,J5822
20060329,28,F4231,206,J6122
20060329,244,J6202,188,G4651
20060329,244,J6202,112,J6202
20060330,384,J5822,565,C3012
20060330,384,J5822,13,C3012
20060330,384,J5822,48,J5822
20060331,18,N7531,58,J6202
20060331,594,J5822,59,J6202
20060331,594,J5822,242,J6121
20060331,691,J5822,59,J6202
20060403,122,J5822,395,J5822
20060403,122,J5822,108,J6202
20060403,122,J5822,78,J6202
20060403,122,J5822,56,J6202
20060403,122,J5822,85,J5822
20060403,122,J5822,6,K6412
20060403,122,J5822,48,J5822
20060403,125,F4232,207,J6121
20060403,125,F4232,238,J6121
20060403,130,C2642,43,J6122
20060403,130,C2642,206,J6122
20060403,149,J5822,161,J5822
20060403,149,J5822,5,G4651
20060403,149,J5822,85,J5822
20060403,348,J5822,113,J6202
20060403,348,J5822,85,J5822
20060403,562,J5822,374,J6129
20060403,562,J5822,112,J6202
20060403,568,C2642,466,J5822
20060404,85,J5822,644,F4122
20060404,85,J5822,642,C2411
20060404,291,C2642,242,J6121
20060404,291,C2642,218,J6122
20060404,291,C2642,538,J6022
20060404,291,C2642,43,J6122
20060404,584,C2642,242,J6121
20060404,681,C1712,17,J5812
20060404,681,C1712,7,J5812
20060404,681,C1712,9,J5812
20060404,693,J5822,436,J6202
20060404,693,J5822,2,K6511
20060404,693,J5822,484,K6412
20060405,80,J6202,85,J5822
20060406,126,G4651,52,J6202
20060406,501,J5822,446,C3111
20060406,610,J5822,43,J6122
20060406,610,J5822,242,J6121
20060406,610,J5822,206,J6122
20060410,303,C2641,211,J6202
20060410,303,C2641,59,J6202
20060410,303,C2641,463,J5822
20060410,303,C2641,242,J6121
20060410,358,J6202,48,J5822
20060410,382,J5822,78,J6202
20060410,382,J5822,48,J5822
20060410,382,J5822,374,J6129
20060410,382,J5822,22,J6202
20060410,517,C2811,539,J5822
20060410,517,C2811,214,J5822
20060410,517,C2811,230,J6202
20060410,587,J5822,49,G4651
20060411,129,G4651,59,J6202
20060411,129,G4651,48,J5822
20060411,296,J5822,108,J6202
20060411,296,J5822,371,J5822
20060411,572,C2641,241,J6121
20060411,584,C2642,242,J6121
20060411,632,J5822,48,J5822
20060411,632,J5822,59,J6202
20060411,632,J5822,83,J5822
20060411,660,F4232,241,J6121
20060412,157,C2632,242,J6121
20060412,560,J6202,565,C3012
20060412,560,J6202,13,C3012
20060413,121,J6202,49,G4651
20060413,121,J6202,78,J6202
20060413,239,F4122,242,J6121
20060413,239,F4122,59,J6202
20060413,239,F4122,463,J5822
20060413,270,G4651,48,J5822
20060413,270,G4651,21,J6202
20060413,270,G4651,108,J6202
20060413,694,J5822,174,J6312
20060413,694,J5822,5,G4651
20060414,205,G4652,374,J6129
20060414,205,G4652,218,J6122
20060414,205,G4652,108,J6202
20060414,438,J6202,218,J6122
20060414,582,J5822,118,S9512
20060414,620,J6202,389,J6202
20060414,697,J6202,108,J6202
20060415,581,J5822,108,J6202
20060415,581,J5822,43,J6122
20060415,581,J5822,206,J6122
20060415,581,J5822,218,J6122
20060415,696,J5822,108,J6202
20060417,147,J5822,59,J6202
20060417,147,J5822,48,J5822
20060417,211,J6202,77,J6202
20060417,211,J6202,48,J5822
20060417,211,J6202,242,J6121
20060417,333,J5822,664,C3111
20060417,333,J5822,663,C3111
20060417,343,J6202,38,G4791
20060417,343,J6202,59,J6202
20060418,228,J6129,176,J5822
20060418,234,J6202,108,J6202
20060418,234,J6202,242,J6121
20060418,312,J5822,171,G4791
20060418,312,J5822,472,J6202
20060418,312,J5822,108,J6202
20060418,349,J5822,71,J5822
20060418,349,J5822,59,J6202
20060418,349,J5822,206,J6122
20060418,432,M7390,59,J6202
20060418,432,M7390,393,J5822
20060418,571,J5822,76,J5822
20060419,90,J5822,59,J6202
20060419,90,J5822,48,J5822
20060419,163,G4651,214,J5822
20060419,163,G4651,108,J6202
20060419,163,G4651,48,J5822
20060419,281,J5822,85,J5822
20060419,281,J5822,38,G4791
20060419,281,J5822,218,J6122
20060419,292,J5822,59,J6202
20060419,292,J5822,48,J5822
20060419,323,J5822,85,J5822
20060419,341,J5822,36,J5822
20060419,341,J5822,295,J5822
20060419,405,G4651,48,J5822
20060419,405,G4651,78,J6202
20060419,405,G4651,382,J5822
20060419,426,J6201,43,J6122
20060419,426,J6201,108,J6202
20060419,431,J5822,108,J6202
20060419,431,J5822,26,G4651
20060419,431,J5822,48,J5822
20060419,578,J5822,22,J6202
20060419,698,J5822,212,J5822
20060419,698,J5822,289,F4212
20060420,77,J6202,446,C3111
20060420,77,J6202,565,C3012
20060420,483,J5822,241,J6121
20060420,483,J5822,206,J6122
20060420,483,J5822,539,J5822
20060420,500,J5822,289,F4212
20060420,500,J5822,59,J6202
20060420,620,J6202,389,J6202
20060421,52,J6202,48,J5822
20060421,52,J6202,374,J6129
20060421,389,J6202,78,J6202
20060421,389,J6202,206,J6122
20060421,389,J6202,59,J6202
20060421,423,J5822,108,J6202
20060421,423,J5822,5,G4651
20060421,423,J5822,174,J6312
20060421,567,P8550,59,J6202
20060421,567,P8550,238,J6121
20060421,699,J5822,59,J6202
20060421,699,J5822,570,C2642
20060421,700,J5822,325,J5822
20060424,138,G4651,76,J5822
20060424,138,G4651,395,J5822
20060424,138,G4651,48,J5822
20060424,170,J5822,627,K6412
20060424,170,J5822,32,J6311
20060424,180,C2631,176,J5822
20060424,180,C2631,162,J5822
20060424,420,G4651,77,J6202
20060424,703,J5822,85,J5822
20060425,77,J6202,446,C3111
20060425,77,J6202,565,C3012
20060425,322,J6202,161,J5822
20060425,322,J6202,354,C3131
20060425,322,J6202,59,J6202
20060425,322,J6202,176,J5822
20060426,181,J5822,108,J6202
20060426,181,J5822,242,J6121
20060426,237,J5822,59,J6202
20060426,237,J5822,484,K6412
20060426,334,J6399,48,J5822
20060426,495,J6202,78,J6202
20060426,688,J5812,14,J6021
20060426,688,J5812,553,J6021
20060427,338,J6209,3,K6512
20060427,338,J6209,108,J6202
20060427,338,J6209,86,K6412
20060427,338,J6209,59,J6202
20060427,603,J5822,625,M7012
20060427,701,J5822,78,J6202
20060427,701,J5822,108,J6202
20060427,701,J5822,112,J6202
20060428,133,F4232,48,J5822
20060428,133,F4232,374,J6129
20060428,160,J6312,48,J5822
20060428,353,J5822,449,F4111
20060428,353,J5822,72,F4232
20060428,353,J5822,59,J6202
20060428,417,J5822,229,G4652
20060428,417,J5822,43,J6122
20060428,417,J5822,484,K6412
20060428,417,J5822,108,J6202
20060428,545,J5822,43,J6122
20060428,545,J5822,570,C2642
20060430,199,J5822,589,C2612
20060430,199,J5822,48,J5822
20060430,199,J5822,570,C2642
20060430,378,J5822,48,J5822
20060430,378,J5822,10,K6412
20060502,152,J6202,589,C2612
20060502,152,J6202,570,C2642
20060502,152,J6202,59,J6202
20060502,186,J5822,40,K6491
20060502,186,J5822,38,G4791
20060503,223,G4651,179,J5822
20060503,223,G4651,161,J5822
20060503,289,F4212,85,J5822
20060503,289,F4212,59,J6202
20060503,289,F4212,48,J5822
20060503,496,J6202,565,C3012
20060503,496,J6202,77,J6202
20060503,496,J6202,124,J6202
20060503,532,J5822,28,F4231
20060503,532,J5822,393,J5822
20060503,604,J5822,43,J6122
20060503,604,J5822,218,J6122
20060503,604,J5822,59,J6202
20060503,604,J5822,35,K6412
20060504,84,J5822,59,J6202
20060504,84,J5822,48,J5822
20060504,84,J5822,522,G4651
20060504,84,J5822,565,C3012
20060508,109,C2641,702,J5822
20060508,82,J5822,570,C2642
20060508,82,J5822,395,J5822
20060508,82,J5822,48,J5822
20060508,424,C2641,242,J6121
20060508,424,C2641,59,J6202
20060509,272,J5822,570,C2642
20060509,396,J5822,642,C2411
20060509,396,J5822,48,J5822
20060509,396,J5822,59,J6202
20060510,91,J5822,555,D3511
20060510,91,J5822,242,J6121
20060510,91,J5822,118,S9512
20060510,196,G4679,77,J6202
20060510,196,G4679,59,J6202
20060510,289,F4212,108,J6202
20060510,289,F4212,48,J5822
20060510,289,F4212,59,J6202
20060510,289,F4212,85,J5822
20060512,142,G4651,21,J6202
20060512,142,G4651,161,J5822
20060512,456,J5822,218,J6122
20060512,456,J5822,59,J6202
20060512,456,J5822,43,J6122
20060512,571,J5822,560,J6202
20060512,571,J5822,63,J6202
20060515,492,C2632,108,J6202
20060515,567,P8550,59,J6202
20060516,366,J5822,86,K6412
20060516,567,P8550,59,J6202
20060516,658,J5822,664,C3111
20060516,658,J5822,663,C3111
20060516,686,J5822,664,C3111
20060516,686,J5822,663,C3111
20060516,706,J5822,48,J5822
20060516,706,J5822,463,J5822
20060517,25,G4651,59,J6202
20060517,163,G4651,214,J5822
20060517,163,G4651,108,J6202
20060517,163,G4651,48,J5822
20060517,283,J5822,85,J5822
20060518,141,J5822,112,J6202
20060518,141,J5822,35,K6412
20060518,141,J5822,10,K6412
20060518,233,J5822,395,J5822
20060518,233,J5822,97,J5822
20060518,233,J5822,77,J6202
20060518,233,J5822,59,J6202
20060518,233,J5822,48,J5822
20060518,307,J5822,59,J6202
20060518,307,J5822,589,C2612
20060518,307,J5822,21,J6202
20060518,496,J6202,565,C3012
20060518,496,J6202,77,J6202
20060518,496,J6202,124,J6202
20060518,685,J5822,664,C3111
20060518,685,J5822,78,J6202
20060518,685,J5822,663,C3111
20060518,708,J5822,454,J6022
20060518,709,J5822,48,J5822
20060518,709,J5822,59,J6202
20060518,709,J5822,108,J6202
20060519,96,J6202,48,J5822
20060519,96,J6202,179,J5822
20060519,189,J5822,132,J6202
20060519,295,J5822,59,J6202
20060522,158,G4651,48,J5822
20060522,158,G4651,48,J5822
20060522,579,J5822,644,F4122
20060522,640,J5822,643,C2721
20060523,85,J5822,644,F4122
20060523,85,J5822,642,C2411
20060523,298,J5822,570,C2642
20060523,298,J5822,590,C2642
20060523,403,J5822,218,J6122
20060523,403,J5822,570,C2642
20060523,403,J5822,540,J5822
20060523,668,J5822,666,C2911
20060523,668,J5822,354,C3131
20060524,151,F4232,257,J6202
20060524,151,F4232,374,J6129
20060524,151,F4232,242,J6121
20060524,394,J5822,584,C2642
20060524,394,J5822,590,C2642
20060524,398,J6202,116,J6312
20060524,398,J6202,26,G4651
20060524,398,J6202,553,J6021
20060524,430,J6311,3,K6512
20060524,430,J6311,218,J6122
20060524,430,J6311,41,K6491
20060524,631,G4651,164,J6202
20060524,631,G4651,161,J5822
20060524,655,J5822,284,J5822
20060524,655,J5822,36,J5822
20060524,655,J5822,29,G4645
20060525,65,J5822,49,G4651
20060525,65,J5822,218,J6122
20060525,65,J5822,589,C2612
20060525,72,F4232,242,J6121
20060525,435,J6202,133,F4232
20060525,435,J6202,22,J6202
20060525,435,J6202,33,G4761
20060525,435,J6202,108,J6202
20060525,563,J6202,498,C2642
20060529,439,J5822,36,J5822
20060529,42,J5822,22,J6202
20060529,42,J5822,133,F4232
20060529,42,J5822,470,N7599
20060529,134,J5920,570,C2642
20060530,25,G4651,59,J6202
20060530,144,J5822,48,J5822
20060530,144,J5822,59,J6202
20060530,144,J5822,395,J5822
20060530,144,J5822,202,G4610
20060530,151,F4232,257,J6202
20060530,151,F4232,374,J6129
20060530,151,F4232,242,J6121
20060530,201,J6202,59,J6202
20060530,298,J5822,570,C2642
20060530,298,J5822,590,C2642
20060530,305,J5822,182,J6022
20060530,305,J5822,454,J6022
20060530,305,J5822,570,C2642
20060601,132,J6202,35,K6412
20060601,132,J6202,8,K6412
20060601,132,J6202,627,K6412
20060601,132,J6202,43,J6122
20060601,132,J6202,59,J6202
20060601,132,J6202,86,K6412
20060601,132,J6202,44,K6491
20060608,464,J5822,5,G4651
20060608,464,J5822,85,J5822
20060611,48,J5822,40,K6491
20060611,48,J5822,570,C2642
20060613,129,G4651,59,J6202
20060613,129,G4651,48,J5822
20060614,72,F4232,242,J6121
20060614,618,J5822,519,J5822
20060614,618,J5822,625,M7012
20060615,28,F4231,206,J6122
20060615,307,J5822,413,J6209
20060615,307,J5822,59,J6202
20060615,590,C2642,206,J6122
20060616,433,J5822,7,J5812
20060616,458,J5822,218,J6122
20060617,343,J6202,38,G4791
20060617,343,J6202,59,J6202
20060619,74,J5811,33,G4761
20060619,74,J5811,174,J6312
20060620,77,J6202,446,C3111
20060620,77,J6202,565,C3012
20060620,123,J5822,38,G4791
20060620,296,J5822,108,J6202
20060620,296,J5822,371,J5822
20060620,319,J5822,242,J6121
20060620,319,J5822,95,J6021
20060620,319,J5822,209,J5822
20060620,497,J6202,59,J6202
20060620,497,J6202,78,J6202
20060620,497,J6202,48,J5822
20060620,497,J6202,306,J6202
20060621,178,J5822,43,J6122
20060621,260,J5822,108,J6202
20060621,371,J5822,470,N7599
20060622,244,J6202,28,F4231
20060622,630,J6022,238,J6121
20060622,630,J6022,171,G4791
20060622,630,J6022,172,G4791
20060622,630,J6022,241,J6121
20060623,432,M7390,59,J6202
20060623,432,M7390,393,J5822
20060623,558,J6202,10,K6412
20060623,558,J6202,86,K6412
20060623,558,J6202,551,K6412
20060626,492,C2632,571,J5822
20060626,587,J5822,570,C2642
20060626,587,J5822,21,J6202
20060626,587,J5822,49,G4651
20060627,649,J6202,48,J5822
20060627,166,J5822,216,J5822
20060627,166,J5822,85,J5822
20060627,166,J5822,5,G4651
20060627,166,J5822,59,J6202
20060627,166,J5822,95,J6021
20060627,593,J5822,418,J6209
20060627,593,J5822,206,J6122
20060627,593,J5822,43,J6122
20060627,649,J6202,78,J6202
20060628,437,G4679,242,J6121
20060630,129,G4651,358,J6202
20060630,129,G4651,380,J5822
20060630,129,G4651,48,J5822
20060630,129,G4651,59,J6202
20060703,205,G4652,374,J6129
20060703,205,G4652,218,J6122
20060703,205,G4652,108,J6202
20060703,325,J5822,77,J6202
20060703,325,J5822,160,J6312
20060703,353,J5822,72,F4232
20060703,353,J5822,449,F4111
20060703,353,J5822,59,J6202
20060704,289,F4212,108,J6202
20060704,289,F4212,48,J5822
20060704,289,F4212,59,J6202
20060704,289,F4212,85,J5822
20060704,543,J6202,71,J5822
20060704,543,J6202,106,J5822
20060705,576,J5822,108,J6202
20060705,576,J5822,133,F4232
20060705,576,J5822,43,J6122
20060705,576,J5822,218,J6122
20060706,359,J5822,128,C2632
20060706,359,J5822,229,G4652
20060706,359,J5822,43,J6122
20060706,359,J5822,108,J6202
20060706,482,J6202,395,J5822
20060706,482,J6202,78,J6202
20060707,427,J5822,116,J6312
20060707,427,J5822,324,J6399
20060707,427,J5822,133,F4232
20060707,427,J5822,108,J6202
20060710,62,J6202,589,C2612
20060710,62,J6202,59,J6202
20060710,420,G4651,77,J6202
20060710,583,C2721,241,J6121
20060710,583,C2721,207,J6121
20060712,539,J5822,59,J6202
20060712,539,J5822,242,J6121
20060712,539,J5822,43,J6122
20060712,539,J5822,218,J6122
20060713,140,G4651,78,J6202
20060713,140,G4651,242,J6121
20060713,570,C2642,563,J6202
20060713,570,C2642,14,J6021
20060713,576,J5822,218,J6122
20060713,576,J5822,108,J6202
20060713,576,J5822,133,F4232
